stated in	source
opposite of	antonym
winner	won by
Wikitravel	WikiTravel
Airbus Group	European Aeronautic Defence and Space Company N.V.
Airbus Group	EADS
SAKO	Sako Models L42
SAKO	Sako Model L42
University of Southern California	USC
SABMiller	SABMiller Group
SABMiller	SAB Miller
SABMiller	SABMiller plc
Aixam	Aixam-Mega
The Walt Disney Company	Disney
The Walt Disney Company	Disney Brothers Cartoon Studio
The Walt Disney Company	The Walt Disney Studio
The Walt Disney Company	Walt Disney Productions
Nintendo	Nintendo Co., Ltd.
BBC	British Broadcasting Corporation
BBC	Auntie
BBC	Beeb
Adobe Systems	Adobe
Adobe Systems	Adobe Systems Incorporated
Capcom	Capcom Co., Ltd.
Ethnologue	Ethnologue: Languages of the World
Tongji University	Tongji
Wikia	Wikicities
Korean Wikipedia	kowiki
Sony Computer Entertainment	Sony Computer Entertainment, Inc.
Sony Computer Entertainment	SCE
German University of Administrative Sciences Speyer	German University of Administrative Science
German University of Administrative Sciences Speyer	College of Administrative Sciences Speyer
German University of Administrative Sciences Speyer	Deutsche Hochschule für Verwaltungswissenschaften Speyer
German University of Administrative Sciences Speyer	Deutsche Hochschule für Verwaltungswissenschaften
German University of Administrative Sciences Speyer	DHV Speyer
German University of Administrative Sciences Speyer	University of Speyer
German University of Administrative Sciences Speyer	Speyer University
German University of Administrative Sciences Speyer	Deutsche Universität für Verwaltungswissenschaften
German University of Administrative Sciences Speyer	German University for Administrative Sciences Speyer
German University of Administrative Sciences Speyer	German University for Administrative Sciences
German University of Administrative Sciences Speyer	German University of Administrative Sciences
German University of Administrative Sciences Speyer	Deutsche Universität für Verwaltungswissenschaften Speyer
343 Industries	343i
Swingline	Parrot Speed Fastener Company
Infosys	Infy
Infosys	Infosys Limitied
Infosys	Infosys Technologies Limited
Infosys	ITL
ARO	Auto Romania
Fabryka Samochodów Małolitrażowych	FSM
University CEU Cardenal Herrera	CEU Cardinal Herrera University
GMC	GMC Division of General Motors LLC
Hispano-Suiza	Hispano Suiza
Chevrolet	Chevy
Chevrolet	Chevrolet Division of General Motors Company
Universidad Autónoma de Nuevo León	University of Nuevo León
Navistar International	Navistar International Corporation
Navistar International	International Harvester Company
Cage Warriors	Cage Warriors Fighting Championship
Cage Warriors	CWFC
Far East State Humanitarian University	KSPU
Far East State Humanitarian University	Khabarovsk State Pedagogical University
National University of Costa Rica	Universidad Nacional de Costa Rica
University of Halle-Wittenberg	MLU
University of Halle-Wittenberg	University of Wittenberg
University of Halle-Wittenberg	University of Halle
University of Halle-Wittenberg	Martin-Luther-Universität Halle-Wittenberg
MPL Communications	McCartney Productions Ltd.
Kickstarter	Kickstarter, Inc.
Kickstarter	Kickstarter.com
