Mohamed Sheikh	Mohammed Iltaf Sheikh
Mohamed Sheikh	Lord Sheikh
Mohamed Sheikh	Baron Sheikh
Mohamed Sheikh	Mohamed Iltaf Sheikh
Silvio Berlusconi	Il Cavaliere
Assis Chateaubriand	Francisco de Assis Chateaubriand Bandeira de Melo
Moby	Richard Melville Hall
Moby	Voodoo Child
Moby	Barracuda
Moby	Brainstorm
Moby	Schaumgummi
Moby	Pippy Baliunas
Moby	UHF
Charles K. Kao	Charles Kao
Steve Jobs	Steven Paul Jobs
Steve Jobs	Steven Jobs
Li Ka-shing	Li Ka Shing
Omurbek Babanov	Өмірбек Бабанов
Omurbek Babanov	Өмүрбек Бабанов
Muhammad Yunus	Muhammad Yunus
Yulia Tymoshenko	Yulia Volodymyrivna Tymoshenko
Yingluck Shinawatra	Pu
Konrad Zuse	Zuse
Konrad Zuse	Konrad Ernst Otto Zuse
Konrad Zuse	Konrad Zuse
Jay Z	Jay Z
Jay Z	Shawn Corey Carter
Jay Z	Jay-Z
Jay Z	Shawn Carter
Beate Uhse-Rotermund	Beate Rotermund-Uhse
Beate Uhse-Rotermund	Beate Köstlin
Beate Uhse-Rotermund	Beate Uhse
Hugo Boss	Hugo Ferdinand Boss
Cliff Richard	Harry Rodger Webb
Colonel Sanders	Harland David Sanders
Colonel Sanders	Harland Sanders
Paul Martin	Paul Edgar Philippe Martin
Paul Martin	Paul Martin, Jr.
Mackenzie Bowell	Sir Mackenzie Bowell
KIVI	Vaginisca
Rafik Hariri	Rafic Hariri
Richard Branson	Sir Richard Branson
Richard Branson	Richard Charles Nicholas Branson
Richard Branson	Sir Richard Charles Nicholas Branson
Ferdinand de Lesseps	Ferdinand Marie, Vicomte de Lesseps
William Boeing	William E. Boeing
William Boeing	Bill Boeing
William Boeing	William Edward Boeing
Chelsea Victoria Clinton	Chelsea Clinton
Priscilla Presley	Priscilla Beaulieu
Carolina Herrera	María Carolina Josefina Pacanins y Niño
Paloma Picasso	Anne Paloma Picasso
César Pelli	Caesar Pelli
Ross Perot	Henry Ross Perot
Jamsetji Tata	Jamsetji Nusserwanji Tata
Jamsetji Tata	Jamshed Tata
Sam Phillips	Samuel Cornelius Phillips
Acun Ilıcalı	paranın anasını sikiyor
Chris Huhne	Christopher Murray Paul-Huhne
Calouste Gulbenkian	Calouste Sarkis Gulbenkian
Thomas J. Watson	Thomas John Watson
Léa Linster	Lea Linster
Kenneth Chenault	Kenneth Irvine Chenault
Patricia A. Woertz	Patricia Woertz
Patricia A. Woertz	Patricia Ann Woertz
Vince J. McMahon	Vince McMahon
Terry Gou	Terry Tai-Ming Gou
Gus Mears	Henry Augustus Mears
Howard Stringer	Sir Howard Stringer
David Braben	David John Braben
John B. Kelly	John B. Kelly, Sr.
Gennady Timchenko	Gennady Nikolayevich Timchenko
Gennady Timchenko	Guennadi Timtchenko
Joseph Mears	Joseph Theophilus Mears
Joseph Mears	JT Mears
Charles Forte, Baron Forte	Carmine Forte
Charles Forte, Baron Forte	Charles Forte
John D. Rockefeller III	John Davison Rockefeller III
Oleg Tinkov	Oleg Tinkoff
Albert Heijn	Appie Happie
Pallonji Mistry	Pallonji Shapoorji Mistry
David Azrieli	David Joshua Azrieli
Marcelo Tinelli	Cuervo Tinelli
Alex Molinaroli	Alex Adrian Molinaroli
Carolyn McCall	Carolyn Julia McCall
