Ferdinand Marcos
Mohamed Sheikh
Jean-Michel Aulas
Sarah Allen
Silvio Berlusconi
Assis Chateaubriand
Moby
Charles K. Kao
Steve Jobs
Li Ka-shing
Frederik Paulsen Sr
Omurbek Babanov
Mark Zuckerberg
Jennifer Lopez
Muhammad Yunus
Seth Bullock
Yulia Tymoshenko
Ferdinand Porsche
Andrus Ansip
Yingluck Shinawatra
Oskar Schindler
Heidi Klum
Konrad Zuse
Wolfgang Wagner
Hugo Eckener
Jay Z
Marc Andreessen
Beate Uhse-Rotermund
Günther Quandt
Hugo Boss
Maximilian Karl, 6th Prince of Thurn and Taxis
Norbert Reithofer
Friedrich Bayer
Artur Fischer
Robert Bosch
Herbert Hainer
David O. Selznick
Carl Vincent Krogmann
Peter S. Kalikow
Duke Friedrich of Württemberg
Charles I. D. Looff
Jusuf Kalla
Georg Wilhelm von Siemens
Carl Heinrich von Siemens
Hans Goldschmidt
Hermann Tietz
Karl Friedrich, Prince of Hohenzollern
Cliff Richard
Gottfried Schenker
Kurt Joachim Lauk
Josef Schleich
Friedrich Mandl
Ludwig Knoop
Christian von Stetten
René Benko
Emich, 5th Prince of Leiningen
Janus Friis
W. Daniel Hillis
Robert Adler
Simon von Lämel
Agneta Matthes
Ludwig Schunk
Ferdinand Mülhens
Josef Friedrich Schmidt
Michael Sladek
Otto Fahr
Wolfgang Porsche
Hans Wehrmann
Carl Leverkus
Richard Lenel
Konrad Gobel
Peter von Siemens
Joachim Milberg
Victor Mayer
Michael Diekmann
Erivan Haub
Veit Hans Schnorr von Carolsfeld
Wilhelm Franz
Philipp Daniel Merckle
Paul Gauselmann
Georg Schäfer
Hans Hermann Weyer
Andreas Ernst Gottfried Polysius
Krzysztof Budzyń
Günter Felke
Alfred Escher
Alfred Vogel
Walter Haefner
Nick Hayek
Colonel Sanders
P&H MinePro
Thomas Schmidheiny
Jacob Wallenberg
Jim Marshall
August Riedinger
Ernesto Bertarelli
Brian Peckford
Robert Ng
Paul Martin
Mackenzie Bowell
Nawaz Sharif
Magic Johnson
William Fox
Levi Strauss
KIVI
Philip Clarke
Hans Fróði Hansen
Renato Soru
Shin Kyuk-ho
Paolo Barilla
Paul Stoddart
Éric Boullier
Ron Dennis
Giancarlo Minardi
Rafik Hariri
Gabrielle Giffords
Richard Branson
Joe Grant
Ferdinand de Lesseps
Reid Hoffman
Horst Paulmann
C.F. Theodore Steinway
William Boeing
Henry E. Steinway
Jamnalal Bajaj
Nelly
Zoran Janković
René Lacoste
Chelsea Victoria Clinton
Mikhail Prokhorov
Priscilla Presley
Chris Weitz
Zygi Wilf
Álvaro Arzú
Álvaro Colom
Hina Rabbani Khar
Paul Bulcke
George Westinghouse
Gianni Versace
Carolina Herrera
Talal Abu-Ghazaleh
Yves Rocher
Paloma Picasso
John Hancock
Kate Spade
Harry Culver
Thomas Andrews
Susanna Agnelli
Rosella Sensi
Ephraim Shay
Richard Arkwright
David Caruso
Christy Walton
Mukesh Ambani
Roberto Micheletti
Sherry Lansing
César Pelli
Pete Wentz
John Franklin Enders
Ross Perot
Pavel Tretyakov
Salmaan Taseer
Abdul Sattar Abu Risha
Najib Mikati
Martin Cooper
Brian Grazer
Jamsetji Tata
Sam Phillips
William Clay Ford
Ted McCarty
Acun Ilıcalı
Bill Stealey
Robert Smith, Baron Smith of Kelvin
Thomas Cook
Giovanni Volpi
Sean Parker
Ryoei Saito
Patrick Kron
Émile Mathis
Stephen Girard
Bob Corker
Chris Huhne
Ronald Wayne
Luca Cordero di Montezemolo
Nolan Bushnell
William Morris, 1st Viscount Nuffield
Michael Levy, Baron Levy
Alastair Pilkington
Juozas Kazickas
Calouste Gulbenkian
Sir Frank Bowden, 1st Baronet
Adam Osborne
Louis Chevrolet
Masaru Ibuka
Jeroen van der Veer
Charles Williams Nash
Adnan Khashoggi
David Sarnoff
Nathan Myhrvold
George J. Mitchell
Chad Hurley
Libero Grassi
Juan Carlos Wasmosy
Gérard Blitz
Léon Gaumont
Sakamoto Ryōma
Henri Sarolea
Iwasaki Yatarō
Edwin H. Land
Azim Premji
Johns Hopkins
David Packard
William C. Durant
Jimmie Davis
Melissa Joan Hart
David Karp
Thomas J. Watson
Angie Sanclemente Valencia
Alves dos Reis
Alvin Malnik
Vagit Alekperov
Tammy Faye Messner
Charles Boycott
Norio Ohga
Jesse D. Bright
Francisco Piria
Dakis Joannou
Yang Huiyan
Kiran Mazumdar-Shaw
Albert Frère
Léa Linster
Vladimir Lisin
Semion Mogilevich
Mohammad-Reza Rahimi
Anacleto Angelini
Park In-chon
Sam Walton
Andrew Viterbi
Thomas Lipton
Yves-Thibault de Silguy
Mohammed bin Hammam
Lawrence Bender
Kenneth Chenault
Joan Whitney Payson
Robert S. Brookings
Dieter Meier
Paolo Scaroni
Patricia A. Woertz
Angelo Mozilo
Serhiy Taruta
Johann Jakob Scherer
Clive Palmer
Arthur Nordlie
Gianluigi Aponte
Sulaiman Abdul Aziz Al Rajhi
Ralph Recto
Leif Johansson
Ronald Perelman
George Kaiser
Eugene Stoner
Simón Iturri Patiño
Jorge Mendes
Rob Pardo
Romano Artioli
Will Keith Kellogg
Francis Bouygues
Jake Burton Carpenter
Giovanni Inzerillo
Anton Rupert
Jim Thompson
Robert P. McCulloch
Antonio Salviati
Antonio Salvo
Yuna
Haym Solomon
Basmah bint Saud
Jonas Alströmer
Nikodem Caro
Henri Deterding
Raul Gardini
Maurice Strong
George Averoff
Huang Shengyi
Vince J. McMahon
Tan Kah Kee
Charles Henri Baker
Carlo Ginori
Nelson Bunker Hunt
Mark Hurd
Mark Thatcher
Fujio Mitarai
Jorge Nuno Pinto da Costa
Wang Chuanfu
Lee Shau-kee
Terry Gou
Stan Shih
Jean-Albert Grégoire
Henry J. Kaiser
David Moores
Mike Medavoy
Oliver Winchester
Levan Gachechiladze
Roland Duchâtelet
Fernand Renault
Lorenzo Bini Smaghi
Chearavanont family
Mikhail Fridman
Onsi Sawiris
Milton S. Hershey
Assar Gabrielsson
Yang Yuanqing
Ray Kassar
Fernand Pouillon
Asa Griggs Candler
Jerry Baldwin
Zev Siegl
Gordon Bowker
Fadi Ghandour
Aurelio Peccei
Agostino Rocca
John Casablancas
Bengt Baron
Benjamin H. Freedman
Bernard Lacoste
Bernard Natan
Eduardo Schaerer
Bill Bowerman
William Backhouse Astor, Sr.
Rick Snyder
Brady Dougan
Roustam Tariko
Vladimir Kim
John So
Piero Ferrari
Leslie Irvin
Loïc Le Meur
Joan Prats
Tom Monaghan
Henry Samueli
Stan Kroenke
Rodrigo Rosenberg Marzano
Johan Eliasch
Jaime Rosenthal
Giovanni Battagio
Gus Mears
Mikimoto Kōkichi
Clay Shaw
H. R. Haldeman
William Hawley Bowlus
Pierre-Georges Latécoère
Emanuel Nobel
Carl-Henric Svanberg
Carl Deichman
Craig Newmark
Stephen A. Jarislowsky
Ennio Doris
Vittorio Colao
Howard Stringer
Frederic Oudéa
Hansjörg Wyss
Camille of Renesse-Breidbach
Henri Pigozzi
Carl Kempe
Liu Chuanzhi
Marcus Daly
Charles Arthur Banks
Charles Philipon
Antonio Matarrese
Chris Viehbacher
Vicente Boluda
Scott Miller
Facundo Bacardi
Wang Tianpu
Daisuke Enomoto
David Braben
Declan Ganley
Dennis Washington
Dick Gregory
Donald Alexander Macdonald
Donald Wills Douglas, Sr.
Miroslav Mišković
James C. Kennedy
Dwarkanath Tagore
Edgar J. Kaufmann
Frank Zamboni
Pietro Ferrero
Oleksandr Yaroslavsky
John B. Kelly
Emma Forsayth
Alexandre Darracq
Izrael Poznański
Horace Elgin Dodge
Eric Melvin
John Bryson
Geoffrey R. Ball
Philippe Kahn
Alan Shugart
Jeffrey Bewkes
Nuccio Bertone
Holger Crafoord
John Cadbury
Norman Granz
Keith Wood
Joseph Engelberger
Mike Kelly
Franklin Clarence Mars
Ted Price
Julio Bozano
Galen Weston
Gennady Timchenko
George Balfour
George Des Brisay de Blois
George Richards Elkington
George Dunton Widener
Georges Plassat
Germán Efromovich
Vijaypat Singhania
Chris von der Ahe
Hans Peter Stihl
Henri Philippe Pharaoun
Henry Pybus Bell-Irving
Hiroaki Nakanishi
Joseph Mears
Charles Forte, Baron Forte
Hugh Grant
David Perry
Federico Méndez
Ian Davis
Sokratis Kokkalis
John Paul Papanicolaou
Joseph H. Ball
James L. Kraft
James McMillan
James Smith McDonnell
Jean-Dominique Senard
John D. Rockefeller III
John Thain
José Barroso Chávez
Jørn Lyseggen
Moses Austin
Takanobu Itō
John S. Knight
Jorge Gerdau Johannpeter
David Neeleman
Larry Merlo
Philippe Dauman
William Kissam Vanderbilt
Leonard Jerome
Jan Leschly
Luigi Chinetti
Martin Eberhard
Matt Garrison
Vicente Calderón
Jack Smith
Pavel Nikolaievich Demidov
Oleg Tinkov
William Duesbury
René Steichen
Ottomar von Mayenburg
Harry Männil
Akihiro Hino
Rafael Ramírez
Richard Peacock
Robert Randolph Bruce
Roberto Rocca
Francesc Miró-Sans
Saaphyri Windsor
Sabancı family
Saleh Abdul Aziz Al Rajhi
Saleh Abdullah Kamel
Peter-Frans Pauwels
Riccardo Garrone
Fredrik Idestam
Albert Heijn
Simon Wolfson
Syed Babar Ali
Pallonji Mistry
Emilio Lavazza
J. P. McManus
Kamel Nacif Borge
Claudio Lotito
Peter Hartman
David Azrieli
Rolf de Maré
Jedediah Strutt
Richard Arkwright junior
Nathan Straus
Leo Mechelin
Cornelius Vanderbilt II
Bob Young
Waldemar Kita
Ami James
Joseph Paris Duverney
Kenneth M. Jacobs
Paul Marciano
Antoine Bello
Antonio Percassi
Zohar Zisapel
Archie Norman
Benjamin Altman
Charles Lucas
Claude Dauphin
Dan Serfaty
David Culver
Denis Kessler
Denis Ranque
Dov Charney
Éric Carreel
Federico Pucciariello
Francesco Bellini
Gurbaksh Chahal
Homayoun Sanaatizadeh
