John Giannandrea	Metaweb Technologies, Inc.
Giannandrea	Metaweb Technologies, Inc.
Robert Cook	Metaweb Technologies, Inc.
Cook	Metaweb Technologies, Inc.
Danny Hillis	Metaweb Technologies, Inc.
Hillis	Metaweb Technologies, Inc.
John Giannandrea	Metaweb
Giannandrea	Metaweb
Robert Cook	Metaweb
Cook	Metaweb
Danny Hillis	Metaweb
Hillis	Metaweb
John Giannandrea	freebase
Giannandrea	freebase
Robert Cook	freebase
Cook	freebase
Danny Hillis	freebase
Hillis	freebase
Bran Ferren	Applied Minds
Ferren	Applied Minds
Danny Hillis	Applied Minds
Hillis	Applied Minds
Bran Ferren	AMI
Ferren	AMI
Danny Hillis	AMI
Hillis	AMI
Bran Ferren	Applied Minds, Inc.
Ferren	Applied Minds, Inc.
Danny Hillis	Applied Minds, Inc.
Hillis	Applied Minds, Inc.
James Cash Penney	J. C. Penney
Penney	J. C. Penney
James Cash Penney	JCPenney
Penney	JCPenney
James Cash Penney	JC Penney
Penney	JC Penney
James Cash Penney	JCP
Penney	JCP
James Cash Penney	Penney's
Penney	Penney's
James Cash Penney	J.c. Penney Company
Penney	J.c. Penney Company
James Cash Penney	J. C. Penney Company Inc.
Penney	J. C. Penney Company Inc.
Dave Sifry	Technorati
Sifry	Technorati
Dave Sifry	Technorati, Inc.
Sifry	Technorati, Inc.
Thomas J. Watson	IBM
Watson	IBM
Charles Ranlett Flint	IBM
Flint	IBM
Thomas J. Watson	Big Blue
Watson	Big Blue
Charles Ranlett Flint	Big Blue
Flint	Big Blue
Thomas J. Watson	International Business Machines Corporation
Watson	International Business Machines Corporation
Charles Ranlett Flint	International Business Machines Corporation
Flint	International Business Machines Corporation
Thomas J. Watson	International Business Machines Corp.
Watson	International Business Machines Corp.
Charles Ranlett Flint	International Business Machines Corp.
Flint	International Business Machines Corp.
Thomas J. Watson	IBM, Inc.
Watson	IBM, Inc.
Charles Ranlett Flint	IBM, Inc.
Flint	IBM, Inc.
Thomas J. Watson	IBM/PC
Watson	IBM/PC
Charles Ranlett Flint	IBM/PC
Flint	IBM/PC
Thomas J. Watson	Intl. Business Machines
Watson	Intl. Business Machines
Charles Ranlett Flint	Intl. Business Machines
Flint	Intl. Business Machines
Jeff Bezos	Amazon.com
Bezos	Amazon.com
Jeff Bezos	Amazon
Bezos	Amazon
Jeff Bezos	Amazon.com, Inc.
Bezos	Amazon.com, Inc.
Sheryl Handler	Thinking Machines Corporation
Handler	Thinking Machines Corporation
Danny Hillis	Thinking Machines Corporation
Hillis	Thinking Machines Corporation
Sheryl Handler	TMC
Handler	TMC
Danny Hillis	TMC
Hillis	TMC
Moses Brown	Brown University
Brown	Brown University
John Brown	Brown University
Brown	Brown University
Morgan Edwards	Brown University
Edwards	Brown University
James Manning	Brown University
Manning	Brown University
Moses Brown	Brown University, main campus
Brown	Brown University, main campus
John Brown	Brown University, main campus
Brown	Brown University, main campus
Morgan Edwards	Brown University, main campus
Edwards	Brown University, main campus
James Manning	Brown University, main campus
Manning	Brown University, main campus
Moses Brown	Brown
Brown	Brown
John Brown	Brown
Brown	Brown
Morgan Edwards	Brown
Edwards	Brown
James Manning	Brown
Manning	Brown
Eliphalet Adams Bulkeley	Aetna
Bulkeley	Aetna
Eliphalet Adams Bulkeley	Aetna Inc
Bulkeley	Aetna Inc
Eliphalet Adams Bulkeley	AETNA INC /PA/
Bulkeley	AETNA INC /PA/
Eliphalet Adams Bulkeley	AETNA U S HEALTHCARE INC
Bulkeley	AETNA U S HEALTHCARE INC
Marc Andreessen	Netscape
Andreessen	Netscape
James H. Clark	Netscape
Clark	Netscape
Marc Andreessen	Netscape Communications Corporation
Andreessen	Netscape Communications Corporation
James H. Clark	Netscape Communications Corporation
Clark	Netscape Communications Corporation
Marc Andreessen	Netscape Communications Corp
Andreessen	Netscape Communications Corp
James H. Clark	Netscape Communications Corp
Clark	Netscape Communications Corp
Marc Andreessen	Mosaic Communications Corporation
Andreessen	Mosaic Communications Corporation
James H. Clark	Mosaic Communications Corporation
Clark	Mosaic Communications Corporation
Ronald Wayne	Apple Inc.
Wayne	Apple Inc.
Steve Jobs	Apple Inc.
Jobs	Apple Inc.
Steve Wozniak	Apple Inc.
Wozniak	Apple Inc.
Ronald Wayne	Apple Computer Company
Wayne	Apple Computer Company
Steve Jobs	Apple Computer Company
Jobs	Apple Computer Company
Steve Wozniak	Apple Computer Company
Wozniak	Apple Computer Company
Ronald Wayne	Apple Computers
Wayne	Apple Computers
Steve Jobs	Apple Computers
Jobs	Apple Computers
Steve Wozniak	Apple Computers
Wozniak	Apple Computers
Ronald Wayne	Apple Computer, Inc.
Wayne	Apple Computer, Inc.
Steve Jobs	Apple Computer, Inc.
Jobs	Apple Computer, Inc.
Steve Wozniak	Apple Computer, Inc.
Wozniak	Apple Computer, Inc.
Larry Page	Google
Page	Google
Sergey Brin	Google
Brin	Google
Larry Page	Google, Inc.
Page	Google, Inc.
Sergey Brin	Google, Inc.
Brin	Google, Inc.
Larry Page	Google Inc
Page	Google Inc
Sergey Brin	Google Inc
Brin	Google Inc
Roy O. Disney	The Walt Disney Company
Disney	The Walt Disney Company
Walt Disney	The Walt Disney Company
Disney	The Walt Disney Company
Roy O. Disney	Disney
Disney	Disney
Walt Disney	Disney
Disney	Disney
Roy O. Disney	Walt Disney Productions
